Model,Input LN Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
CD8_Tpex_df_TILmodel,Tfh_df,36.363636%,95.238095%,65.116279%,"(43, 239)"
Tfh_df_TILmodel,Tfh_df,68.181818%,61.904762%,65.116279%,"(43, 239)"
CD8_EffectorMemory_df_TILmodel,Tfh_df,45.454545%,85.714286%,65.116279%,"(43, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_Tex_df,97.674419%,30.952381%,64.705882%,"(85, 239)"
CD8_NaiveLike_df_TILmodel,CD4_NaiveLike_df,49.193548%,79.752066%,64.285714%,"(490, 239)"
Tfh_df_TILmodel,Th1_df,70.943396%,57.575758%,64.272212%,"(529, 239)"
Tfh_df_TILmodel,CD8_Tex_df,93.023256%,33.333333%,63.529412%,"(85, 239)"
Treg_df_TILmodel,all_LN_df,27.337322%,99.599771%,63.124115%,"(10595, 239)"
all_TILmodel,all_LN_df,27.299925%,99.466362%,63.039169%,"(10595, 239)"
Tfh_df_TILmodel,CD8_EarlyActiv_df,64.622642%,60.952381%,62.796209%,"(422, 239)"
Treg_df_TILmodel,Tfh_df,36.363636%,90.476190%,62.790698%,"(43, 239)"
CD8_Tpex_df_TILmodel,all_LN_df,25.560957%,99.580713%,62.218027%,"(10595, 239)"
CD4_NaiveLike_df_TILmodel,Treg_df,88.235294%,35.454545%,61.904762%,"(441, 239)"
Treg_df_TILmodel,CD8_EarlyActiv_df,23.584906%,99.523810%,61.374408%,"(422, 239)"
all_TILmodel,Th1_df,24.150943%,98.484848%,61.247637%,"(529, 239)"
CD8_NaiveLike_df_TILmodel,CD8_Tex_df,97.674419%,23.809524%,61.176471%,"(85, 239)"
CD8_EffectorMemory_df_TILmodel,CD4_NaiveLike_df,24.596774%,98.347107%,61.020408%,"(490, 239)"
all_TILmodel,CD8_EarlyActiv_df,23.584906%,98.571429%,60.900474%,"(422, 239)"
CD8_Tpex_df_TILmodel,CD8_EarlyActiv_df,22.169811%,99.047619%,60.426540%,"(422, 239)"
Treg_df_TILmodel,Th1_df,21.886792%,98.863636%,60.302457%,"(529, 239)"
Tfh_df_TILmodel,CD4_NaiveLike_df,54.032258%,66.528926%,60.204082%,"(490, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_Tpex_df,94.444444%,23.529412%,60.000000%,"(35, 239)"
CD4_NaiveLike_df_TILmodel,CD8_Tex_df,93.023256%,26.190476%,60.000000%,"(85, 239)"
CD8_Tpex_df_TILmodel,Th1_df,20.754717%,98.863636%,59.735350%,"(529, 239)"
Th1_df_TILmodel,CD8_Tex_df,97.674419%,19.047619%,58.823529%,"(85, 239)"
Treg_df_TILmodel,CD8_NaiveLike_df,17.371673%,99.687124%,58.268564%,"(8363, 239)"
all_TILmodel,CD8_NaiveLike_df,17.490494%,99.542720%,58.256606%,"(8363, 239)"
CD8_Tex_df_TILmodel,CD8_EffectorMemory_df,17.037037%,100.000000%,57.894737%,"(266, 239)"
CD8_Tpex_df_TILmodel,CD8_NaiveLike_df,15.874525%,99.663057%,57.503288%,"(8363, 239)"
CD8_NaiveLike_df_TILmodel,CD8_Tpex_df,94.444444%,17.647059%,57.142857%,"(35, 239)"
Th1_df_TILmodel,CD8_Tpex_df,94.444444%,17.647059%,57.142857%,"(35, 239)"
CD8_Tex_df_TILmodel,Th1_df,10.566038%,99.621212%,55.009452%,"(529, 239)"
CD4_NaiveLike_df_TILmodel,CD8_EffectorMemory_df,62.222222%,47.328244%,54.887218%,"(266, 239)"
CD8_Tex_df_TILmodel,all_LN_df,10.658190%,99.923766%,54.865503%,"(10595, 239)"
CD4_NaiveLike_df_TILmodel,all_LN_df,62.247569%,45.244902%,53.827277%,"(10595, 239)"
CD4_NaiveLike_df_TILmodel,Tfh_df,54.545455%,52.380952%,53.488372%,"(43, 239)"
all_TILmodel,CD4_NaiveLike_df,8.064516%,100.000000%,53.469388%,"(490, 239)"
CD8_Tpex_df_TILmodel,CD4_NaiveLike_df,6.854839%,100.000000%,52.857143%,"(490, 239)"
Treg_df_TILmodel,CD4_NaiveLike_df,6.451613%,100.000000%,52.653061%,"(490, 239)"
CD8_Tex_df_TILmodel,CD8_EarlyActiv_df,5.188679%,100.000000%,52.369668%,"(422, 239)"
CD4_NaiveLike_df_TILmodel,CD8_NaiveLike_df,57.865970%,45.415162%,51.680019%,"(8363, 239)"
CD4_NaiveLike_df_TILmodel,CD8_EarlyActiv_df,60.849057%,41.904762%,51.421801%,"(422, 239)"
CD8_Tex_df_TILmodel,CD8_NaiveLike_df,3.350760%,99.927798%,51.333254%,"(8363, 239)"
CD8_Tex_df_TILmodel,Tfh_df,9.090909%,95.238095%,51.162791%,"(43, 239)"
CD4_NaiveLike_df_TILmodel,CD4_NaiveLike_df,55.241935%,45.454545%,50.408163%,"(490, 239)"
CD8_Tex_df_TILmodel,CD4_NaiveLike_df,1.209677%,100.000000%,50.000000%,"(490, 239)"
CD4_NaiveLike_df_TILmodel,Th1_df,55.849057%,42.424242%,49.149338%,"(529, 239)"
CD4_NaiveLike_df_TILmodel,CD8_Tpex_df,61.111111%,23.529412%,42.857143%,"(35, 239)"
