Model,Input Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
CD8_EffectorMemory_df_TILmodel,CD8_NaiveLike_df,41.506533%,97.604328%,69.479769%,"(2595, 239)"
Tfh_df_TILmodel,CD8_NaiveLike_df,56.571868%,79.443586%,67.976879%,"(2595, 239)"
Tfh_df_TILmodel,CD8_EffectorMemory_df,81.129272%,53.273810%,67.211896%,"(1345, 239)"
Tfh_df_TILmodel,CD8_EarlyActiv_df,74.252874%,59.815242%,67.050691%,"(868, 239)"
Th1_df_TILmodel,CD8_Tpex_df,97.183099%,36.170213%,66.784452%,"(283, 239)"
CD8_EffectorMemory_df_TILmodel,Tfh_df,54.285714%,79.411765%,66.666667%,"(69, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_Tex_df,94.625720%,37.764933%,66.250000%,"(1040, 239)"
CD8_Tpex_df_TILmodel,Tfh_df,34.285714%,97.058824%,65.217391%,"(69, 239)"
Tfh_df_TILmodel,Th1_df,66.015625%,64.200793%,65.114754%,"(1525, 239)"
CD8_NaiveLike_df_TILmodel,CD8_Tpex_df,97.183099%,31.914894%,64.664311%,"(283, 239)"
Tfh_df_TILmodel,CD8_Tpex_df,93.661972%,34.042553%,63.957597%,"(283, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_Tex_df,96.545106%,31.021195%,63.846154%,"(1040, 239)"
Th1_df_TILmodel,Tfh_df,65.714286%,61.764706%,63.768116%,"(69, 239)"
CD8_Tpex_df_TILmodel,CD8_EarlyActiv_df,27.586207%,98.845266%,63.133641%,"(868, 239)"
CD8_Tex_df_TILmodel,CD8_EffectorMemory_df,26.300149%,99.404762%,62.825279%,"(1345, 239)"
CD8_Tex_df_TILmodel,Tfh_df,28.571429%,97.058824%,62.318841%,"(69, 239)"
CD8_EarlyActiv_df_TILmodel,Tfh_df,54.285714%,70.588235%,62.318841%,"(69, 239)"
Treg_df_TILmodel,Tfh_df,31.428571%,94.117647%,62.318841%,"(69, 239)"
Treg_df_TILmodel,CD8_EarlyActiv_df,25.517241%,99.076212%,62.211982%,"(868, 239)"
CD8_Tpex_df_TILmodel,Th1_df,24.739583%,99.075297%,61.639344%,"(1525, 239)"
