,x
5352,0.539
5353,2.592
5354,0.601
5355,0.579
5356,0.831
5357,0.37
5358,0.759
5359,0.373
5360,0.239
5361,0.476
5362,0.195
5363,1.29
5364,0.734
5365,0.463
5366,0.693
5367,0.531
5368,0.234
5369,0.887
5370,0.846
5371,0.501
5372,0.685
5373,1.679
5374,0.518
5375,2.47
5376,0.362
5377,1.079
5378,0.457
5379,1.447
5380,0.285
5381,0.473
5382,0.988
5383,0.353
5384,0.269
5385,0.942
5386,0.819
5387,1.591
5388,0.453
5389,0.432
5390,0.657
5391,1.127
5392,0.39
5393,0.889
5394,2.06
5395,0.392
5396,1.128
5397,0.918
5398,1.175
5399,0.414
5400,0.259
5401,0.153
5402,1.246
5403,0.49
5404,0.776
5405,0.762
5406,0.705
5407,0.458
5408,0.755
5409,2.298
5410,1.503
5411,0.443
5412,0.325
5413,0.843
5414,0.752
5415,0.569
5416,0.419
5417,0.637
5418,0.661
5419,0.518
5420,1.415
5421,0.429
5422,0.451
5423,1.325
5424,2.351
5425,1.303
5426,0.25
5427,0.512
5428,1.419
5429,1.205
5430,0.671
5431,0.826
5432,1.286
5433,4.001
5434,1.736
5435,0.302
5436,0.401
5437,1.144
5438,0.356
5439,0.464
5440,1.178
5441,0.386
5442,0.87
5443,0.464
5444,1.02
5445,0.566
5446,1.179
5447,1.281
5448,0.338
5449,0.167
5450,0.354
5451,0.522
5452,1.301
5453,0.721
5454,0.782
5455,1.38
5456,0.535
5457,1.285
5458,0.77
5459,0.819
5460,0.687
5461,0.87
5462,0.364
5463,0.541
5464,1.162
5465,1.233
5466,0.457
5467,0.662
5468,0.598
5469,0.487
5470,0.78
5471,0.734
5472,0.532
5473,0.701
5474,0.767
5475,0.644
5476,0.458
5477,0.773
5478,1.051
5479,0.876
5480,1.463
5481,0.405
5482,0.658
5483,0.464
5484,0.941
5485,0.378
5486,1.382
5487,1.587
5488,0.599
5489,0.831
5490,0.959
5491,0.362
5492,0.477
5493,0.413
5494,1.688
5495,0.54
5496,0.654
5497,1.776
5498,0.632
5499,0.48
5500,0.499
5501,0.743
5502,0.313
5503,0.554
5504,1.407
5505,1.628
5506,0.365
5507,1.141
5508,0.804
5509,1.043
5510,0.846
5511,0.432
5512,1.226
5513,1.273
5514,0.832
5515,0.466
5516,0.55
5517,0.514
5518,0.214
5519,0.091
5520,0.488
5521,0.701
5522,1.267
5523,1.186
5524,0.395
5525,1.596
5526,1.41
5527,0.47
5528,1.86
5529,0.317
5530,1.079
5531,0.561
5532,0.669
5533,0.351
5534,0.42
5535,0.566
5536,1.676
5537,0.888
5538,0.389
5539,1.32
5540,0.627
5541,0.545
5542,1.283
5543,0.94
5544,2.096
5545,0.39
5546,0.619
5547,0.676
5548,0.328
5549,1.798
5550,0.328
5551,0.308
5552,0.604
5553,0.201
5554,0.392
5555,0.389
5556,0.979
5557,0.799
5558,0.857
5559,1.995
5560,0.698
5561,0.596
5562,0.276
5563,0.292
5564,0.471
5565,0.95
5566,0.677
5567,0.62
5568,0.528
5569,0.936
5570,0.525
5571,0.667
5572,0.375
5573,0.674
5574,0.386
5575,0.451
5576,1.189
5577,0.67
5578,0.379
5579,0.691
5580,0.658
5581,0.379
5582,0.3
5583,0.414
5584,0.318
5585,0.755
5586,0.454
5587,0.745
5588,1.463
5589,0.631
5590,0.672
5591,0.716
5592,1.081
5593,0.236
5594,0.995
5595,1.105
5596,0.307
5597,0.578
5598,0.77
5599,0.516
5600,0.677
5601,0.593
5602,0.32
5603,1.157
5604,1.642
5605,0.269
5606,0.913
5607,0.662
5608,0.396
5609,0.307
5610,0.332
5611,0.91
5612,0.55
5613,0.62
5614,1.345
5615,1.285
5616,0.229
5617,1.225
5618,0.924
5619,0.576
5620,0.212
5621,0.381
5622,2.375
5623,0.836
5624,0.72
5625,1.087
5626,0.49
5627,0.81
5628,1.49
5629,1.429
5630,1.002
5631,0.755
5632,0.467
5633,0.365
5634,0.52
5635,0.367
5636,0.401
5637,1.274
5638,0.595
5639,1.368
5640,0.872
5641,0.584
5642,0.728
5643,1.483
5644,0.639
5645,0.557
5646,0.629
5647,0.895
5648,0.6
5649,0.333
5650,0.32
5651,1.398
5652,0.862
5653,0.571
5654,1.808
5655,0.722
5656,0.44
5657,0.892
5658,1.562
5659,0.855
5660,0.55
5661,1.004
5662,0.962
5663,0.483
5664,0.365
5665,0.709
5666,0.353
5667,1.31
5668,0.509
5669,0.662
5670,0.411
5671,0.471
5672,0.422
5673,0.832
5674,0.46
5675,1.133
5676,0.687
5677,0.567
5678,0.268
5679,0.505
5680,0.431
5681,0.696
5682,0.917
5683,0.604
5684,0.611
5685,1.987
5686,0.563
5687,1.08
5688,0.378
5689,0.907
5690,0.416
5691,1.429
5692,0.699
5693,1.536
5694,0.734
5695,0.693
5696,1.316
5697,0.47
5698,1.206
5699,0.674
5700,0.907
5701,1.283
5702,1.425
5703,0.379
5704,1.977
5705,1.592
5706,0.622
5707,0.947
5708,0.512
5709,0.875
5710,1.608
5711,0.341
5712,0.288
5713,1.007
5714,0.522
5715,1.453
5716,0.578
5717,1.929
5718,0.503
5719,0.611
5720,1.085
5721,0.954
5722,0.463
5723,0.877
5724,0.453
5725,0.328
5726,0.581
5727,1.766
5728,2.175
5729,0.332
5730,1.598
5731,0.868
5732,0.908
5733,0.626
5734,0.353
5735,0.357
5736,0.501
5737,0.29
5738,0.798
5739,0.47
5740,0.429
5741,0.73
5742,1.13
5743,0.562
5744,1.049
5745,0.879
5746,0.7
5747,0.795
5748,0.789
5749,0.266
5750,0.332
5751,0.376
5752,2.317
5753,0.356
5754,0.431
5755,0.92
5756,0.497
5757,0.872
5758,1.697
5759,0.716
5760,0.62
5761,0.402
5762,0.437
5763,0.694
5764,0.491
5765,0.852
5766,0.575
5767,2.219
5768,0.571
5769,0.94
5770,1.323
5771,1.196
5772,0.611
5773,0.274
5774,0.805
5775,0.435
5776,0.909
5777,0.413
5778,0.343
5779,1.355
5780,0.724
5781,0.448
5782,0.527
5783,1.614
5784,0.601
5785,0.545
5786,0.516
5787,0.429
5788,1.253
5789,1.207
5790,0.802
5791,0.362
5792,0.57
5793,0.39
5794,0.741
5795,0.286
5796,0.759
5797,0.434
5798,0.414
5799,0.473
5800,0.65
5801,1.021
5802,0.7
5803,0.51
5804,0.434
5805,1.081
5806,0.387
5807,0.546
5808,0.775
5809,0.521
5810,1.271
5811,0.571
5812,0.438
5813,0.835
5814,0.691
5815,1.306
5816,0.23
5817,0.49
5818,0.905
5819,0.923
5820,0.437
5821,1.157
5822,0.626
5823,0.924
5824,1.625
5825,0.804
5826,4.146
5827,0.466
5828,0.662
5829,0.571
5830,0.637
5831,0.558
5832,0.395
5833,0.752
5834,1.296
5835,0.877
5836,0.386
5837,0.654
5838,0.375
5839,0.262
5840,0.878
5841,0.677
5842,0.884
5843,0.537
5844,0.41
5845,0.276
5846,0.723
5847,1.102
5848,0.927
5849,0.945
5850,2.391
5851,1.811
5852,0.322
5853,1.319
5854,0.142
5855,0.558
5856,0.36
5857,1.061
5858,1.528
5859,1.039
5860,0.411
5861,1.863
5862,0.829
5863,0.467
5864,0.603
5865,0.586
5866,0.315
5867,0.655
5868,0.995
5869,0.305
5870,0.527
5871,0.384
5872,0.32
5873,0.313
5874,1.004
5875,0.468
5876,0.576
5877,0.979
5878,0.605
5879,0.613
5880,0.435
5881,1.399
5882,0.254
5883,1.39
5884,1.365
5885,0.674
5886,0.748
5887,1.568
5888,0.46
5889,0.569
5890,0.644
5891,0.621
5892,0.995
5893,0.871
5894,0.445
5895,1.574
5896,1.926
5897,0.754
5898,0.499
5899,1.015
5900,0.708
5901,1.686
5902,0.429
5903,0.55
5904,0.208
5905,1.244
5906,0.721
5907,0.288
5908,0.728
5909,0.411
5910,0.863
5911,0.798
5912,0.951
5913,0.881
5914,1.71
5915,0.641
5916,1.628
5917,1.088
5918,0.354
5919,0.461
5920,0.86
5921,0.767
5922,0.609
5923,1.554
5924,0.516
5925,1.476
5926,0.483
5927,1.094
5928,0.393
5929,0.556
5930,0.328
5931,0.501
5932,0.357
5933,0.8
5934,1.622
5935,0.413
5936,0.438
5937,0.625
5938,0.317
5939,1.398
5940,0.525
5941,2.17
5942,0.395
5943,0.76
5944,0.503
5945,0.315
5946,0.286
5947,1.066
5948,0.528
5949,0.303
5950,0.302
5951,1.856
5952,2.054
5953,0.494
5954,0.928
5955,0.382
5956,0.609
5957,0.599
5958,1.029
5959,0.312
5960,0.491
5961,1.325
5962,0.662
5963,1.269
5964,0.373
5965,0.769
5966,0.487
5967,0.36
5968,0.84
5969,0.438
5970,1.384
5971,1.271
5972,0.322
5973,0.656
5974,1.19
5975,0.615
5976,0.371
5977,0.624
5978,0.41
5979,0.724
5980,0.857
5981,0.838
5982,1.534
5983,0.601
5984,0.387
5985,1.026
5986,0.698
5987,1.002
5988,0.924
5989,1.421
5990,1.037
5991,0.635
5992,0.414
5993,0.146
5994,0.508
5995,0.341
5996,0.23
5997,0.804
5998,0.931
5999,0.432
6000,0.503
6001,0.207
6002,0.429
6003,0.687
6004,2.158
6005,0.392
6006,0.567
6007,1.17
6008,0.34
6009,0.411
6010,0.686
6011,0.359
6012,1.283
6013,1.41
6014,0.92
6015,0.699
6016,1.78
6017,0.328
6018,1.001
6019,0.522
6020,0.524
6021,1.006
6022,0.49
6023,0.872
6024,1.56
6025,1.07
6026,0.498
6027,1.293
6028,0.464
6029,1.452
6030,1.059
6031,0.509
6032,0.709
6033,0.218
6034,0.879
6035,0.665
6036,1.207
6037,1.29
6038,0.743
6039,0.42
6040,0.818
6041,0.595
6042,0.37
6043,0.823
6044,1.91
6045,0.581
6046,2.066
6047,0.601
6048,0.841
6049,0.499
6050,1.073
6051,0.552
6052,1.151
6053,0.917
6054,0.69
6055,1.388
6056,0.855
6057,0.28
6058,0.454
6059,1.85
6060,0.264
6061,1
6062,0.454
6063,0.426
6064,1.231
6065,0.437
6066,1.889
6067,0.531
6068,0.205
6069,0.307
6070,0.344
6071,0.745
6072,0.28
6073,1.485
6074,0.685
6075,0.333
6076,0.376
6077,0.48
6078,0.278
6079,0.762
6080,0.801
6081,2.357
6082,1.056
6083,0.927
6084,1.723
6085,0.483
6086,1.585
6087,1.101
6088,0.396
6089,0.566
6090,0.485
6091,1.136
6092,0.536
6093,0.274
6094,1.164
6095,0.658
6096,1.1
6097,1.023
6098,0.335
6099,1.534
6100,1.476
6101,0.453
6102,0.859
6103,0.48
6104,0.79
6105,1.137
6106,1.068
6107,0.434
6108,0.48
6109,0.598
6110,0.52
6111,0.557
6112,0.656
6113,1.251
6114,0.445
6115,1.118
6116,0.271
6117,1.403
6118,0.57
6119,1.001
6120,1.128
6121,0.382
6122,0.572
6123,1.643
6124,0.356
6125,0.745
6126,0.691
6127,0.907
6128,0.266
6129,0.661
6130,0.297
6131,0.792
6132,0.51
6133,1.301
6134,1.177
6135,0.375
6136,0.541
6137,0.532
6138,0.411
6139,0.752
6140,0.596
6141,0.365
6142,1.069
6143,0.759
6144,0.638
6145,0.853
6146,0.558
6147,0.879
6148,1.072
6149,0.611
6150,0.758
6151,0.382
6152,1.658
6153,0.464
6154,0.958
6155,0.417
6156,0.745
6157,0.702
6158,0.45
6159,0.437
6160,0.393
6161,1.064
6162,0.9
6163,0.752
6164,0.266
6165,0.75
6166,1.281
6167,1.448
6168,0.616
6169,0.62
6170,0.502
6171,0.539
6172,0.7
6173,0.702
6174,0.712
6175,0.318
6176,0.708
6177,0.461
6178,0.33
6179,1.533
6180,0.792
6181,1.086
6182,1.045
6183,0.904
6184,0.315
6185,1.144
6186,1.181
6187,1.201
6188,0.713
6189,1.462
6190,0.328
6191,1.925
6192,0.804
6193,0.531
6194,0.693
6195,0.428
6196,0.476
6197,1.14
6198,0.619
6199,0.802
6200,0.553
6201,1.082
6202,0.912
6203,1.149
6204,1.705
6205,0.911
6206,0.684
6207,0.923
6208,0.736
6209,0.51
6210,0.728
6211,0.349
6212,1.125
6213,0.947
6214,0.461
6215,1.205
6216,1.201
6217,1.116
6218,0.348
6219,0.655
6220,0.814
6221,0.77
6222,0.498
6223,0.696
6224,0.72
6225,1.324
6226,1.343
6227,0.773
6228,0.661
6229,0.405
6230,0.739
6231,0.866
6232,0.44
6233,0.601
6234,0.769
6235,0.977
6236,1.057
6237,0.698
6238,0.494
6239,0.404
6240,0.909
6241,0.426
6242,0.9
6243,0.982
6244,0.999
6245,0.468
6246,0.144
6247,0.637
6248,0.384
6249,0.506
6250,0.474
6251,0.264
6252,1.105
6253,1.164
6254,0.553
6255,1.312
6256,0.435
6257,0.758
6258,0.269
6259,1.833
6260,0.817
6261,0.686
6262,0.737
6263,1.53
6264,1.021
6265,0.414
6266,0.29
6267,1.503
6268,0.445
6269,0.288
6270,0.407
6271,0.594
6272,1.069
6273,0.31
6274,1.446
6275,1.256
6276,0.434
6277,0.384
6278,0.524
6279,0.384
6280,1.333
6281,0.662
6282,0.576
6283,0.506
6284,1.105
6285,0.806
6286,1.021
6287,0.41
6288,1.456
6289,0.317
6290,0.641
6291,1.197
6292,0.642
6293,0.516
6294,2.584
6295,0.816
6296,0.902
6297,1.203
6298,0.601
6299,0.313
6300,0.502
6301,0.537
6302,0.278
6303,1.035
6304,0.283
6305,0.373
6306,0.807
6307,0.393
6308,0.317
6309,0.647
6310,0.264
6311,0.674
6312,0.672
6313,1.347
6314,0.483
6315,0.848
6316,1.532
6317,0.902
6318,1.307
6319,0.913
6320,1.758
6321,1.255
6322,1.919
6323,0.663
6324,0.216
6325,0.225
6326,0.836
6327,1.84
6328,0.572
6329,0.848
6330,1.114
6331,0.364
6332,0.528
6333,1.063
6334,0.426
6335,0.605
6336,2.387
6337,0.675
6338,1.215
6339,0.395
6340,0.461
6341,0.382
6342,0.963
6343,1.118
6344,0.317
6345,1.431
6346,1.078
6347,0.716
6348,0.527
6349,0.414
6350,0.718
6351,0.585
6352,1.505
6353,0.443
6354,1.405
6355,0.243
6356,0.598
6357,0.849
6358,1.688
6359,0.463
6360,0.633
6361,1.932
6362,2.406
6363,1.76
6364,0.497
6365,1.607
6366,0.62
6367,0.328
6368,0.575
6369,0.943
6370,0.312
6371,0.362
6372,0.437
6373,0.987
6374,0.389
6375,1.261
6376,0.57
6377,0.255
6378,0.42
6379,0.572
6380,1.176
6381,0.323
6382,0.618
6383,0.441
6384,0.719
6385,0.566
6386,0.478
6387,0.435
6388,0.259
6389,1.554
6390,1.545
6391,0.622
6392,0.921
6393,0.633
6394,1.416
6395,0.413
6396,0.239
6397,0.561
6398,0.419
6399,0.448
6400,1.072
6401,0.312
6402,0.416
6403,1.19
6404,0.729
6405,0.949
6406,0.885
6407,0.467
6408,0.951
6409,0.857
6410,0.687
6411,1.142
6412,0.683
6413,1.193
6414,1.702
6415,0.745
6416,0.589
6417,0.888
6418,0.503
6419,0.328
6420,1.096
6421,0.56
6422,1.207
6423,0.48
6424,0.707
6425,0.389
6426,0.739
6427,1.065
6428,0.229
6429,0.687
6430,0.749
6431,0.302
6432,1.022
6433,0.451
6434,0.558
6435,1.164
6436,1.075
6437,0.295
6438,0.633
6439,1.473
6440,0.648
6441,0.656
6442,0.488
6443,0.973
6444,3.39
6445,0.775
6446,0.524
6447,0.528
6448,0.642
6449,1.091
6450,0.499
6451,0.476
6452,0.591
6453,0.858
6454,1.566
6455,0.219
6456,0.589
6457,1.051
6458,0.933
6459,0.375
6460,0.643
6461,0.501
6462,0.401
6463,1.651
6464,0.428
6465,0.464
6466,0.36
6467,0.297
6468,0.847
6469,0.825
6470,0.262
6471,1.322
6472,0.935
6473,0.402
6474,0.642
6475,0.259
6476,0.678
6477,0.456
6478,0.575
6479,0.525
6480,0.425
6481,0.522
6482,1.201
6483,1.232
6484,0.845
6485,1.192
6486,0.544
6487,1.412
6488,0.487
6489,0.846
6490,0.554
6491,0.386
6492,0.641
6493,0.727
6494,0.831
6495,0.881
6496,0.478
6497,0.725
6498,0.367
6499,0.847
6500,1.634
6501,0.516
6502,2.3
6503,0.512
6504,1.913
6505,0.822
6506,0.735
6507,0.387
6508,0.596
6509,0.616
6510,1.131
6511,0.246
6512,0.353
6513,1.279
6514,0.318
6515,1.42
6516,0.425
6517,0.567
6518,0.692
6519,0.86
6520,1.1
6521,0.791
6522,0.545
6523,0.364
6524,0.947
6525,0.387
6526,1.016
6527,0.675
6528,0.402
6529,0.756
6530,1.79
6531,0.343
6532,1.634
6533,0.94
6534,0.574
6535,0.382
6536,0.379
6537,0.401
6538,0.575
6539,1.358
6540,1.542
6541,0.966
6542,0.745
6543,0.529
6544,0.364
6545,0.338
6546,1.481
6547,0.75
6548,0.468
6549,1.406
6550,0.468
6551,0.73
6552,0.305
6553,0.549
6554,0.393
6555,0.744
6556,0.157
6557,1.783
6558,0.936
6559,2.132
6560,0.52
6561,0.325
6562,0.709
6563,0.986
6564,0.293
6565,0.743
6566,0.647
6567,1.505
6568,0.741
6569,0.483
6570,0.414
6571,0.31
6572,0.432
6573,0.94
6574,0.633
6575,0.606
6576,0.557
6577,1.225
6578,0.838
6579,0.348
6580,0.512
6581,0.351
6582,0.687
6583,0.7
6584,0.928
6585,0.49
6586,0.541
6587,0.501
6588,0.512
6589,0.351
6590,0.335
6591,1.138
6592,0.364
6593,0.7
6594,1.076
6595,0.443
6596,0.293
6597,2.023
6598,0.473
6599,0.395
6600,0.802
6601,1.096
6602,0.51
6603,1.061
6604,0.824
6605,0.929
6606,0.333
6607,0.25
6608,0.46
6609,0.484
6610,0.723
6611,0.375
6612,1.752
6613,0.829
6614,0.948
6615,0.536
6616,0.927
6617,0.977
6618,1.077
6619,0.3
6620,0.574
6621,0.567
6622,0.821
6623,0.488
6624,0.344
6625,1.588
6626,0.357
6627,1.169
6628,0.312
6629,1.031
6630,0.305
6631,0.501
6632,0.544
6633,1.192
6634,0.32
6635,0.468
6636,0.936
6637,1.513
6638,0.48
6639,0.426
6640,0.476
6641,0.044
6642,0.76
6643,0.491
6644,0.532
6645,0.434
6646,0.581
6647,0.464
6648,0.487
6649,1.086
6650,0.349
6651,0.849
6652,0.274
6653,0.791
6654,1.343
6655,0.417
6656,0.463
6657,1.356
6658,3.831
6659,1.739
6660,0.255
6661,0.346
6662,2.219
6663,0.382
6664,0.432
6665,0.295
6666,0.257
6667,0.407
6668,0.728
6669,0.72
6670,1.549
6671,0.626
6672,0.694
6673,0.343
6674,0.917
6675,0.208
6676,0.707
6677,0.245
6678,0.541
6679,0.695
6680,0.46
6681,0.293
6682,0.909
6683,0.273
6684,0.583
6685,0.308
6686,0.038
6687,0.318
6688,0.286
6689,0.445
6690,0.708
6691,0.687
6692,0.305
6693,0.367
6694,0.563
6695,0.778
6696,0.261
6697,1.459
6698,0.243
6699,0.288
6700,0.144
6701,0.288
6702,1.34
6703,0.41
6704,0.257
6705,0.812
6706,0.484
6707,0.197
6708,1.686
6709,0.746
6710,0.865
6711,0.476
6712,0.269
6713,1.002
6714,0.761
6715,1.133
6716,0.474
6717,1.301
6718,0.487
6719,1.275
6720,0.633
6721,1.537
6722,1.465
6723,0.722
6724,0.357
6725,0.811
6726,0.248
6727,0.834
6728,0.805
6729,0.378
6730,1.172
6731,1.448
6732,0.343
6733,1.794
6734,0.678
6735,0.549
6736,0.608
6737,1.136
6738,0.662
6739,0.574
6740,1.074
6741,0.563
6742,1.254
6743,1.03
6744,1.114
6745,0.893
6746,1.185
6747,0.286
6748,0.67
6749,0.618
6750,0.642
6751,1.132
6752,0.426
6753,0.281
6754,0.343
6755,0.25
6756,0.298
6757,0.303
6758,1.077
6759,0.505
6760,1.496
6761,0.827
6762,1.214
6763,0.518
6764,0.298
6765,0.381
6766,1.367
6767,0.262
6768,1.001
6769,0.619
6770,1.367
6771,0.939
6772,0.333
6773,0.698
6774,0.498
6775,0.434
6776,0.55
6777,0.506
6778,0.323
6779,0.59
6780,0.641
6781,0.594
6782,0.904
6783,0.627
6784,0.395
6785,0.423
6786,1.938
6787,0.949
6788,1.011
6789,0.522
6790,0.208
6791,0.553
6792,0.468
6793,0.484
6794,0.816
6795,0.544
6796,1.273
6797,0.396
6798,1.116
6799,0.829
6800,0.875
6801,0.965
6802,1.628
6803,0.557
6804,0.18
6805,0.569
6806,0.399
6807,0.499
6808,1.103
6809,0.367
6810,0.806
6811,0.173
6812,0.897
6813,0.356
6814,0.305
6815,0.232
6816,0.988
6817,0.669
6818,0.572
6819,0.428
6820,1.141
6821,0.665
6822,1.294
6823,1.395
6824,0.858
6825,0.308
6826,2.432
6827,0.569
6828,0.447
6829,0.308
6830,1.519
6831,1.218
6832,0.302
6833,0.7
6834,0.298
6835,0.338
6836,0.392
6837,0.727
6838,0.743
6839,0.85
6840,0.323
6841,0.429
6842,0.354
6843,0.66
6844,2.064
6845,0.456
6846,0.312
6847,0.333
6848,0.387
6849,0.647
6850,0.353
6851,0.441
6852,1.162
6853,1.308
6854,0.974
6855,1.04
6856,0.729
6857,1.044
6858,1.169
6859,0.271
6860,0.67
6861,0.349
6862,0.78
6863,1.095
6864,1.253
6865,1.139
6866,1.826
6867,0.888
6868,0.323
6869,0.494
6870,1.192
6871,0.857
6872,1.508
6873,1.064
6874,1.904
6875,0.384
6876,0.509
6877,1.811
6878,0.983
6879,1.628
6880,0.34
6881,0.819
6882,0.601
6883,1.352
6884,0.556
6885,1.767
6886,0.453
6887,0.271
6888,0.527
6889,1.151
6890,0.517
6891,1.368
6892,0.692
6893,1.738
6894,0.902
6895,0.671
6896,0.525
6897,1.024
6898,0.338
6899,1.281
6900,1.274
6901,0.435
6902,0.996
6903,0.527
6904,0.444
6905,0.177
6906,0.964
6907,0.545
6908,0.467
6909,0.61
6910,0.457
6911,0.759
6912,1.206
6913,0.456
6914,0.305
6915,0.264
6916,0.548
6917,0.698
6918,0.31
6919,1.322
6920,0.425
6921,1.11
6922,0.886
6923,0.806
6924,0.613
6925,0.791
6926,0.423
6927,0.332
6928,0.341
6929,1.432
6930,0.359
6931,0.405
6932,1.193
6933,0.51
6934,1.353
6935,0.52
6936,0.99
6937,0.548
6938,0.889
6939,0.354
6940,0.709
6941,0.73
6942,0.676
6943,0.308
6944,1.406
6945,0.855
6946,0.561
6947,0.362
6948,1.008
6949,0.644
6950,0.379
6951,1.205
6952,0.98
6953,0.416
6954,0.295
6955,0.286
6956,0.544
6957,0.317
6958,0.944
6959,1.053
6960,0.916
6961,0.357
6962,0.42
6963,0.487
6964,1.029
6965,0.641
6966,0.802
6967,0.485
6968,0.54
6969,0.37
6970,1.322
6971,1.359
6972,0.608
6973,0.39
6974,0.641
6975,0.371
6976,0.165
6977,0.483
6978,0.99
6979,0.503
6980,0.923
6981,0.305
6982,0.763
6983,1.872
6984,0.466
6985,0.557
6986,0.541
6987,0.618
6988,1.455
6989,0.395
6990,0.376
6991,0.521
6992,0.717
6993,1.713
6994,0.998
6995,0.378
6996,0.669
6997,1.39
6998,0.491
6999,0.429
7000,1.244
7001,0.506
7002,1.139
7003,0.521
7004,0.65
7005,0.437
7006,0.243
7007,0.344
7008,0.556
7009,1.353
7010,0.59
7011,0.365
7012,1.367
7013,0.922
7014,1.657
7015,0.357
7016,1.309
7017,0.367
7018,0.913
7019,0.535
7020,1.764
7021,0.968
7022,0.609
7023,0.642
7024,2.002
7025,0.413
7026,0.621
7027,0.926
7028,1.209
7029,0.49
7030,0.591
7031,1.153
7032,1.825
7033,0.308
7034,0.47
7035,1.011
7036,1.177
7037,1.655
7038,0.898
7039,2.33
7040,0.739
7041,1.407
7042,0.356
7043,0.528
7044,0.398
7045,1.262
7046,0.483
7047,0.408
7048,0.572
7049,0.447
7050,0.752
7051,0.419
7052,0.298
7053,0.805
7054,1.078
7055,0.596
7056,0.464
7057,0.674
7058,0.518
7059,0.478
7060,1.044
7061,0.367
7062,0.624
7063,0.883
7064,0.445
7065,1.231
7066,1.209
7067,0.552
7068,0.631
7069,1.438
7070,0.884
7071,0.609
7072,0.313
7073,0.661
7074,1.48
7075,1.002
7076,0.539
7077,0.944
7078,1.236
7079,1.895
7080,0.565
7081,0.411
7082,1.84
7083,0.405
7084,0.729
7085,1.099
7086,0.435
7087,0.606
7088,1.202
7089,0.3
7090,0.968
7091,1.633
7092,0.31
7093,0.65
7094,0.413
7095,0.798
7096,0.443
7097,0.9
7098,0.955
7099,0.359
7100,1.052
7101,0.378
7102,0.521
7103,0.876
7104,1.407
7105,1.35
7106,1.224
7107,0.333
7108,0.584
7109,0.598
7110,0.46
7111,1.197
7112,0.809
7113,0.973
7114,0.902
7115,0.853
7116,0.411
7117,0.39
7118,0.755
7119,0.686
7120,0.517
7121,1.247
7122,0.51
7123,0.492
7124,1.132
7125,0.283
7126,0.332
7127,1.573
7128,0.94
7129,1.251
7130,0.824
7131,0.393
7132,0.893
7133,0.586
7134,0.286
7135,0.328
7136,1.329
7137,0.55
7138,0.21
7139,0.417
7140,1.762
7141,1.049
7142,0.216
7143,0.359
7144,0.825
7145,0.569
7146,0.936
7147,0.652
7148,1.315
7149,0.414
7150,0.576
7151,0.714
7152,1.268
7153,0.87
7154,0.488
7155,0.742
7156,1.044
7157,0.565
7158,0.894
7159,0.987
7160,0.49
7161,1.024
7162,0.935
7163,1.051
7164,0.81
7165,0.39
7166,1.065
7167,1.056
7168,1.601
7169,0.611
7170,0.448
7171,0.907
7172,0.733
7173,1.201
7174,1.503
7175,0.645
7176,1.271
7177,1.058
7178,0.495
7179,0.413
7180,0.654
7181,0.601
7182,1.498
7183,0.368
7184,0.901
7185,0.831
7186,0.085
7187,0.769
7188,0.163
7189,1.637
7190,0.328
7191,0.506
7192,1.408
7193,0.517
7194,0.746
7195,0.313
7196,1.399
7197,1.259
7198,0.431
7199,0.954
7200,0.503
7201,0.665
7202,0.371
7203,0.47
7204,0.611
7205,0.588
7206,0.239
7207,0.461
7208,0.576
7209,0.953
7210,0.892
7211,0.269
7212,0.274
7213,0.927
7214,0.375
7215,1.144
7216,0.426
7217,1.308
7218,0.229
7219,1.445
7220,0.381
7221,0.441
7222,0.629
7223,0.631
7224,0.536
7225,0.82
7226,0.241
7227,0.453
7228,0.923
7229,0.473
7230,0.779
7231,1.559
7232,0.501
7233,1.457
7234,0.533
7235,0.918
7236,1.207
7237,0.753
7238,0.344
7239,1.342
7240,0.678
7241,0.667
7242,0.851
7243,1.581
7244,0.365
7245,2.005
7246,0.951
7247,0.398
7248,0.535
7249,0.353
7250,0.362
7251,0.557
7252,0.416
7253,0.236
7254,0.453
7255,0.335
7256,0.632
7257,0.336
7258,0.529
7259,0.505
7260,0.579
7261,0.252
7262,0.333
7263,0.803
7264,0.896
7265,0.338
7266,0.67
7267,0.529
7268,0.624
7269,0.476
7270,1.037
7271,1.316
7272,1.234
7273,0.569
7274,0.33
7275,0.444
7276,0.261
7277,0.604
7278,0.795
7279,0.732
7280,0.474
7281,0.367
7282,0.423
7283,0.8
7284,0.389
7285,0.635
7286,0.402
7287,0.854
7288,0.264
7289,0.227
7290,0.488
7291,0.298
7292,0.509
7293,0.609
7294,0.357
7295,0.719
7296,0.598
7297,0.679
7298,0.239
7299,0.537
7300,0.533
7301,0.32
7302,1.975
7303,0.905
7304,0.955
7305,0.921
7306,0.895
7307,0.723
7308,0.45
7309,0.47
7310,0.448
7311,0.648
7312,0.528
7313,1.778
7314,0.368
7315,0.281
7316,0.974
7317,0.769
7318,0.501
7319,1.133
7320,1.326
7321,1.911
7322,0.641
7323,0.829
7324,0.407
7325,1.882
7326,0.386
7327,0.386
7328,1.523
7329,0.537
7330,0.561
7331,0.399
7332,0.516
7333,0.437
7334,1.188
7335,0.722
7336,0.678
7337,0.756
7338,0.513
7339,1.243
7340,0.793
7341,0.445
7342,0.505
7343,1.048
7344,1.19
7345,0.518
7346,0.702
7347,1.905
7348,0.413
7349,1.411
7350,0.973
