,x
533,1.855
534,0.274
535,0.755
536,0.935
537,0.69
538,0.608
539,0.448
540,0.387
541,0.594
542,0.785
543,1.551
544,0.63
545,0.536
546,0.574
547,0.915
548,1.394
549,0.87
550,0.42
551,0.434
552,0.498
553,0.49
554,0.414
555,2.608
556,0.438
557,1.415
558,0.813
559,0.463
560,0.471
561,0.466
562,0.323
563,0.362
564,0.842
565,0.688
566,0.825
567,1.145
568,1.087
569,0.362
570,1.599
571,0.714
572,1.307
573,0.522
574,0.66
575,0.435
576,0.631
577,2.05
578,0.796
579,0.177
580,0.648
581,0.841
582,0.583
583,0.422
584,0.648
585,0.216
586,0.274
587,0.36
588,1.66
589,0.545
590,0.812
591,0.838
592,0.626
593,0.641
594,1.362
595,0.338
596,1.023
597,0.757
598,0.338
599,0.525
600,0.34
601,1.619
602,1.485
603,0.925
604,0.654
605,0.335
606,0.864
607,1.206
608,1.084
609,0.518
610,0.423
611,0.896
612,0.313
613,0.7
614,1.032
615,0.487
616,0.293
617,0.379
618,0.589
619,1.561
620,0.961
621,0.322
622,0.852
623,1.039
624,0.642
625,0.54
626,0.581
627,0.537
628,0.474
629,0.182
630,0.771
631,2.221
632,0.757
633,1.961
634,0.703
635,0.308
636,1.504
637,1.29
638,0.393
639,0.338
640,1.353
641,1.58
642,1.082
643,1.2
644,0.54
645,0.724
646,1.194
647,0.444
648,0.667
649,0.322
650,0.359
651,0.813
652,0.593
653,2.235
654,0.639
655,0.822
656,0.605
657,1.147
658,0.78
659,0.23
660,1.075
661,0.809
662,0.566
663,1.275
664,0.399
665,0.286
666,0.841
667,0.25
668,0.792
669,1.02
670,1.304
671,0.389
672,1.668
673,0.545
674,0.36
675,0.618
676,0.517
677,0.861
678,0.917
679,3.834
680,0.208
681,0.916
682,0.343
683,0.466
684,1.135
685,0.687
686,0.971
687,0.501
688,0.676
689,0.839
690,1.43
691,0.437
692,0.699
693,0.599
694,0.508
695,1.469
696,0.826
697,0.713
698,0.643
699,0.598
700,1.098
701,0.546
702,0.867
703,1.397
704,0.525
705,1.696
706,0.619
707,0.79
708,0.524
709,0.744
710,0.335
711,1.199
712,0.219
713,2.204
714,0.757
715,0.357
716,0.46
717,1.011
718,0.317
719,1.727
720,0.513
721,0.986
722,0.583
723,0.756
724,0.443
725,0.9
726,0.639
727,1.025
728,1.154
729,0.368
730,0.901
731,0.674
732,1.542
733,2.096
734,0.558
735,1.311
736,0.341
737,1.277
738,0.351
739,0.354
740,0.881
741,1.84
742,0.346
743,0.578
744,0.553
745,1.527
746,0.367
747,1.202
748,1.721
749,0.375
750,0.964
751,0.633
752,0.74
753,2.371
754,0.488
755,0.875
756,0.663
757,0.779
758,0.665
759,1.047
760,0.365
761,0.584
762,0.835
763,1.434
764,0.633
765,0.216
766,0.485
767,0.95
768,0.593
769,0.408
770,1.374
771,1.016
772,0.396
773,2.287
774,0.687
775,1.251
776,0.546
777,0.447
778,1.749
779,0.625
780,0.354
781,1.607
782,0.454
783,0.476
784,1.455
785,1.275
786,0.41
787,0.454
788,1.075
789,0.76
790,0.522
791,1.695
792,1.963
793,0.632
794,0.445
795,0.292
796,0.51
797,0.376
798,0.89
799,0.687
800,1.168
801,1.473
802,0.381
803,1.541
804,1.799
805,0.089
806,0.919
807,0.57
808,0.888
809,1.252
810,0.584
811,0.677
812,0.852
813,0.48
814,0.664
815,0.733
816,1.002
817,0.748
818,0.413
819,0.47
820,0.532
821,2.945
822,1.014
823,1.001
824,0.664
825,0.584
826,0.861
827,0.45
828,0.443
829,0.505
830,0.677
831,0.351
832,0.354
833,0.419
834,0.346
835,2.145
836,0.307
837,0.273
838,0.405
839,0.643
840,1.11
841,0.467
842,0.428
843,0.413
844,1.608
845,0.757
846,0.431
847,0.724
848,0.466
849,1.152
850,0.47
851,0.989
852,0.443
853,0.843
854,0.336
855,0.431
856,0.803
857,0.431
858,0.632
859,0.891
860,0.283
861,0.645
862,1.28
863,0.605
864,0.274
865,0.825
866,0.909
867,0.585
868,0.639
869,0.956
870,0.65
871,0.46
872,3.462
873,0.521
874,0.505
875,1.136
876,0.467
877,0.608
878,0.968
879,0.285
880,0.678
881,0.847
882,1.383
883,0.599
884,0.77
885,2.367
886,0.402
887,0.864
888,0.3
889,0.381
890,0.552
891,2.391
892,1.099
893,0.458
894,0.359
895,0.668
896,1.535
897,2.748
898,0.371
899,0.639
900,1.379
901,0.517
902,0.916
903,0.281
904,0.255
905,1.809
906,0.441
907,1.083
908,0.955
909,1.156
910,1.059
911,0.58
912,0.451
913,0.961
914,1.175
915,0.632
916,1.26
917,0.327
918,0.416
919,0.66
920,1.026
921,0.655
922,0.57
923,1.154
924,0.257
925,0.456
926,1.466
927,1.235
