Cell type,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions,Top 30 features
Treg_df,81.92090395480226,90.9090909090909,86.40226628895185,"(1957, 239)","['B4galnt1: 0.086', 'Lfng: 0.0441', 'B4galt1: 0.0359', 'Stt3a: 0.0353', 'Galnt6: 0.035', 'Mgat2: 0.0342', 'Dpm2: 0.0337', 'Ugcg: 0.0304', 'B3gat3: 0.0287', 'Alg5: 0.0286', 'Chst12: 0.0285', 'Pofut2: 0.0272', 'Colgalt1: 0.0257', 'Galnt1: 0.0228', 'Ogt: 0.0223', 'Sptlc2: 0.0195', 'St8sia4: 0.019', 'Mfng: 0.0183', 'B3gnt2: 0.0177', 'B3gnt2: 0.0156', 'Gxylt1: 0.0149', 'St3gal6: 0.0146', 'St3gal4: 0.0141', 'Uggt1: 0.0138', 'Ncbp2: 0.0134', 'Chsy1: 0.0133', 'St6galnac4: 0.0133', 'Galnt3: 0.0118', 'Stt3b: 0.0108', 'Ext2: 0.0094']"
CD8_Tpex_df,80.0,92.3076923076923,86.27450980392157,"(283, 239)","['B4galnt1: 0.0795', 'Chst12: 0.0489', 'St3gal6: 0.0352', 'Mfng: 0.0329', 'St8sia4: 0.0296', 'Mgat2: 0.0275', 'Gxylt1: 0.0263', 'Pofut2: 0.0256', 'Lfng: 0.0252', 'Galnt1: 0.0244', 'Galnt12: 0.0242', 'B4galt1: 0.0227', 'Sptlc2: 0.0215', 'Ncbp2: 0.0207', 'Uggt1: 0.0203', 'Ugcg: 0.0199', 'Dpm2: 0.0198', 'Alg5: 0.018', 'Ext2: 0.0177', 'Ogt: 0.0159', 'B3gnt2: 0.0154', 'Stt3a: 0.0154', 'Stt3b: 0.0147', 'B3gnt2: 0.0135', 'Chpf: 0.0134', 'St6galnac4: 0.0128', 'Galnt6: 0.0127', 'Dpagt1: 0.0124', 'Colgalt1: 0.0123', 'Chsy1: 0.012']"
CD8_EarlyActiv_df,73.41772151898735,91.02564102564102,82.16560509554141,"(868, 239)","['B4galnt1: 0.0768', 'Lfng: 0.0529', 'B4galt1: 0.0389', 'Ogt: 0.0367', 'Ugcg: 0.0351', 'B3gnt2: 0.0294', 'B3gnt2: 0.0273', 'Galnt6: 0.0268', 'Chsy1: 0.0266', 'Galnt1: 0.0222', 'Chst12: 0.0216', 'Fut8: 0.02', 'Colgalt1: 0.0181', 'Dpm2: 0.0175', 'Mfng: 0.0168', 'Gxylt1: 0.0167', 'St3gal6: 0.0164', 'Stt3a: 0.0163', 'B3gat3: 0.0159', 'Mgat2: 0.0156', 'Sptlc2: 0.0156', 'St6galnac4: 0.0147', 'Alg5: 0.0143', 'St8sia4: 0.014', 'Uggt1: 0.0127', 'Chpf: 0.0122', 'Galnt11: 0.012', 'Galnt12: 0.0113', 'Mgat5: 0.0113', 'Chst11: 0.0105']"
CD8_Tex_df,77.6595744680851,81.91489361702128,79.7872340425532,"(1041, 239)","['B4galnt1: 0.0711', 'Chst12: 0.043', 'Mgat2: 0.0394', 'Ncbp2: 0.0288', 'B3gnt2: 0.0269', 'Colgalt1: 0.0267', 'Galnt6: 0.0267', 'Stt3a: 0.0264', 'Sptlc2: 0.0264', 'Ogt: 0.0257', 'Mfng: 0.0248', 'B4galt1: 0.0245', 'B3gnt2: 0.0221', 'Dpm2: 0.0219', 'Ugcg: 0.0219', 'Gxylt1: 0.0208', 'Pofut2: 0.0201', 'Alg5: 0.0201', 'Galnt1: 0.0165', 'Stt3b: 0.0161', 'Fut11: 0.0158', 'Lfng: 0.0153', 'Chpf: 0.0153', 'St3gal4: 0.015', 'B4galt5: 0.0143', 'B3gat3: 0.0133', 'Chsy1: 0.0126', 'Uggt1: 0.0126', 'St6galnac4: 0.0114', 'Dpy19l1: 0.0111']"
Tfh_df,83.33333333333334,71.42857142857143,76.92307692307693,"(69, 239)","['B4galt1: 0.0761', 'Stt3a: 0.0632', 'St8sia4: 0.0351', 'St6galnac3: 0.026', 'C1galt1: 0.0245', 'Alg1: 0.0245', 'Lfng: 0.0231', 'Galnt1: 0.0211', 'B4galnt1: 0.0211', 'Colgalt1: 0.0191', 'Ogt: 0.019', 'Chpf: 0.0185', 'B3gnt2: 0.0185', 'Plod3: 0.0176', 'Mgat2: 0.0156', 'Fut11: 0.0154', 'Alg3: 0.0149', 'Dpm2: 0.0143', 'B3gnt2: 0.0135', 'B4galnt4: 0.0134', 'St3gal1: 0.0131', 'Galnt7: 0.0127', 'Fut8: 0.0126', 'Ncbp2: 0.012', 'Sptlc2: 0.0117', 'St8sia1: 0.0117', 'Mfng: 0.0115', 'Alg5: 0.0113', 'Stt3b: 0.0109', 'Dse: 0.0104']"
CD8_EffectorMemory_df,68.59504132231406,85.12396694214877,76.85950413223141,"(1345, 239)","['B4galnt1: 0.0886', 'Chst12: 0.041', 'Stt3a: 0.0402', 'Ugcg: 0.0388', 'Ogt: 0.0354', 'Lfng: 0.0316', 'Galnt6: 0.03', 'B4galt1: 0.0299', 'Galnt1: 0.0278', 'Mgat2: 0.027', 'Alg5: 0.0256', 'Gxylt1: 0.0236', 'Dpm2: 0.0213', 'Ncbp2: 0.021', 'St3gal4: 0.0198', 'Mgat1: 0.0187', 'Sptlc2: 0.0185', 'St6galnac4: 0.0184', 'Chsy1: 0.0178', 'Mfng: 0.0176', 'St8sia4: 0.0157', 'B3gnt2: 0.0144', 'B3gnt2: 0.0143', 'B3gat3: 0.0141', 'Stt3b: 0.014', 'Chpf2: 0.0127', 'Ext2: 0.0122', 'Fut8: 0.012', 'B4galt7: 0.0097', 'Colgalt1: 0.0095']"
Th1_df,67.62589928057554,79.41176470588235,73.45454545454545,"(1525, 239)","['Stt3a: 0.0403', 'Ugcg: 0.0374', 'B4galnt1: 0.0369', 'Galnt1: 0.0336', 'Ogt: 0.0289', 'Galnt12: 0.0288', 'Mgat2: 0.027', 'Stt3b: 0.0265', 'Galnt6: 0.0258', 'Dpm2: 0.0258', 'Lfng: 0.0242', 'B3gnt2: 0.0234', 'B3gnt2: 0.0234', 'St3gal6: 0.0232', 'B3gat3: 0.022', 'St6galnac3: 0.0174', 'Alg5: 0.0171', 'Mgat5: 0.017', 'Mgat1: 0.0166', 'Ext2: 0.0161', 'Mfng: 0.016', 'St8sia4: 0.0156', 'B4galt1: 0.0154', 'Colgalt1: 0.0146', 'Sptlc2: 0.0141', 'Uggt1: 0.0128', 'Ncbp2: 0.0128', 'St6galnac4: 0.0122', 'Alg1: 0.012', 'Chst12: 0.0116']"
CD8_NaiveLike_df,57.26495726495726,85.40772532188842,71.30620985010707,"(2595, 239)","['B4galnt1: 0.0898', 'Stt3a: 0.0555', 'Ugcg: 0.037', 'Chst12: 0.0358', 'Lfng: 0.0288', 'B4galt1: 0.0281', 'St3gal6: 0.0265', 'Galnt1: 0.0258', 'Ncbp2: 0.023', 'Mgat2: 0.0224', 'Alg5: 0.0222', 'B3gnt2: 0.021', 'Colgalt1: 0.0209', 'B3gnt2: 0.0205', 'Ogt: 0.02', 'Chsy1: 0.0192', 'Stt3b: 0.0185', 'Galnt6: 0.018', 'St6galnac4: 0.0167', 'Uggt1: 0.0164', 'Mgat1: 0.0159', 'Mfng: 0.0158', 'Chpf: 0.0149', 'Sptlc2: 0.0145', 'Galnt11: 0.0133', 'St8sia4: 0.0129', 'Dse: 0.0126', 'St3gal4: 0.0123', 'Fut8: 0.0103', 'Mgat5: 0.0102']"
CD4_NaiveLike_df,66.66666666666666,33.33333333333333,50.0,"(133, 239)","['Galnt6: 0.0449', 'Galnt1: 0.0384', 'Alg5: 0.0337', 'St8sia4: 0.0301', 'Ogt: 0.0296', 'Gxylt1: 0.0251', 'Fut8: 0.0247', 'B4galnt1: 0.0244', 'St6gal1: 0.0228', 'Sptlc2: 0.0206', 'Galnt2: 0.0206', 'Galnt12: 0.0199', 'Pigm: 0.0188', 'Galnt7: 0.0183', 'Mgat2: 0.0183', 'B3gnt2: 0.017', 'Uggt1: 0.0164', 'B4galt1: 0.0163', 'Mfng: 0.0162', 'Gcnt1: 0.0157', 'Ugcg: 0.0155', 'Alg13: 0.0154', 'Stt3a: 0.0152', 'Pofut1: 0.0147', 'B3gnt2: 0.014', 'Ndst2: 0.0139', 'Mgat5: 0.0137', 'Chpf: 0.0132', 'B3galnt2: 0.0132', 'Pofut2: 0.0124']"
