Cell type,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions,Top 30 features
Treg_df,95.000000%,87.500000%,91.250000%,"(441, 239)","['B4galnt1: 0.0962', 'Sptlc2: 0.0575', 'Galnt1: 0.0453', 'Dpm2: 0.0428', 'Alg5: 0.0425', 'Galnt6: 0.0371', 'Lfng: 0.0368', 'Mgat2: 0.0332', 'St3gal4: 0.0247', 'Mfng: 0.0245', 'Pofut2: 0.0242', 'Stt3a: 0.0225', 'B3gat3: 0.019', 'St6galnac4: 0.0187', 'Chst12: 0.0174', 'Ugcg: 0.0165', 'Colgalt1: 0.0154', 'Ext2: 0.0153', 'St8sia4: 0.0148', 'Ncbp2: 0.0144', 'B4galt1: 0.014', 'B3gnt2: 0.0133', 'Mgat1: 0.0129', 'Chsy1: 0.0126', 'Uggt1: 0.0116', 'Ogt: 0.0114', 'B3gnt2: 0.011', 'Gxylt1: 0.0105', 'Fut7: 0.0104', 'Galnt12: 0.0103']"
CD8_NaiveLike_df,75.989446%,80.347594%,78.154050%,"(8363, 239)","['B4galnt1: 0.125', 'Lfng: 0.0318', 'St3gal6: 0.0287', 'Stt3a: 0.0203', 'Mgat2: 0.0192', 'Ogt: 0.0186', 'Mfng: 0.0177', 'B4galt1: 0.0175', 'St8sia6: 0.0173', 'Dse: 0.0166', 'Ugcg: 0.0161', 'Galnt6: 0.0157', 'Uggt1: 0.0153', 'Dpm2: 0.0142', 'St3gal4: 0.0137', 'St6galnac4: 0.0135', 'Ncbp2: 0.0134', 'Galnt1: 0.0134', 'Alg5: 0.013', 'Stt3b: 0.0129', 'Colgalt1: 0.0129', 'B3gnt2: 0.0126', 'Sptlc2: 0.0124', 'St6gal1: 0.0122', 'B3gnt2: 0.0122', 'B3gat3: 0.0109', 'Mgat1: 0.0107', 'Galnt12: 0.0106', 'Fut8: 0.0106', 'St3gal1: 0.0104']"
Th1_df,72.916667%,83.333333%,78.125000%,"(529, 239)","['B4galnt1: 0.0365', 'Sptlc2: 0.0359', 'B4galt1: 0.0343', 'Lfng: 0.0335', 'Galnt6: 0.0326', 'Mgat5: 0.0301', 'Galnt1: 0.0297', 'Ncbp2: 0.0291', 'Mgat1: 0.029', 'Ogt: 0.0262', 'Dpm2: 0.0244', 'St6gal1: 0.023', 'B3gnt2: 0.0229', 'Dse: 0.0222', 'B3gnt2: 0.0206', 'St3gal6: 0.0202', 'Alg1: 0.0197', 'Stt3a: 0.0196', 'St6galnac3: 0.0179', 'Mgat2: 0.0156', 'Uggt1: 0.0151', 'St8sia4: 0.0148', 'Mfng: 0.0147', 'Fut8: 0.0138', 'Pofut1: 0.0136', 'Stt3b: 0.0131', 'Alg5: 0.0126', 'Galnt7: 0.0123', 'St6galnac4: 0.0122', 'Dpy19l1: 0.011']"
CD8_EarlyActiv_df,71.052632%,81.578947%,76.315789%,"(422, 239)","['B4galnt1: 0.0712', 'Chst12: 0.0331', 'Lfng: 0.0303', 'Galnt1: 0.0273', 'Colgalt1: 0.0262', 'Pigm: 0.0223', 'St3gal6: 0.0213', 'B3gnt5: 0.0205', 'Ugcg: 0.0204', 'B3gnt2: 0.0192', 'B3gnt2: 0.0188', 'Galnt2: 0.0171', 'B4galt7: 0.0163', 'Stt3a: 0.0157', 'St8sia4: 0.0147', 'St6gal1: 0.0143', 'Stt3b: 0.0142', 'St6galnac4: 0.0138', 'Fut8: 0.0135', 'B4galt1: 0.0135', 'Galnt6: 0.0134', 'Sptlc2: 0.013', 'Mfng: 0.0127', 'Uggt1: 0.0126', 'Ust: 0.0116', 'Alg1: 0.0114', 'St6galnac3: 0.0114', 'Galnt7: 0.0111', 'Ogt: 0.0109', 'Pofut1: 0.0108']"
CD8_Tex_df,62.500000%,87.500000%,75.000000%,"(85, 239)","['B4galnt1: 0.1095', 'Lfng: 0.0343', 'B3gnt2: 0.0343', 'Galnt6: 0.0324', 'B3gnt2: 0.0314', 'St8sia4: 0.0264', 'Pofut2: 0.0221', 'Stt3a: 0.0192', 'Dse: 0.0191', 'Ogt: 0.0182', 'St6galnac4: 0.017', 'St3gal4: 0.0165', 'Chst12: 0.016', 'Ncbp2: 0.0158', 'B4galt1: 0.0142', 'Chsy1: 0.014', 'Galnt2: 0.0135', 'Colgalt1: 0.0134', 'Alg5: 0.0131', 'Ugcg: 0.0129', 'B3galnt2: 0.0128', 'Mfng: 0.0123', 'Mgat1: 0.0122', 'Galnt11: 0.012', 'Gxylt1: 0.0118', 'Chpf: 0.0118', 'Stt3b: 0.0117', 'Mgat2: 0.0112', 'Pigv: 0.0108', 'Fut8: 0.0103']"
CD8_EffectorMemory_df,54.166667%,95.833333%,75.000000%,"(266, 239)","['B4galnt1: 0.0997', 'Ncbp2: 0.0401', 'Ugcg: 0.039', 'Fut8: 0.037', 'Ogt: 0.0364', 'Pofut2: 0.033', 'Chsy1: 0.0284', 'Mgat2: 0.0243', 'Lfng: 0.0224', 'Mgat1: 0.0211', 'Chst12: 0.0205', 'Ext2: 0.0194', 'Mfng: 0.0188', 'Galnt6: 0.0188', 'Alg5: 0.0188', 'B3gnt2: 0.0179', 'Eogt: 0.0168', 'St3gal6: 0.0167', 'Sptlc2: 0.0154', 'Extl3: 0.0148', 'Galnt1: 0.0146', 'Dpm2: 0.0132', 'B4galt7: 0.0128', 'B3gat3: 0.0128', 'Alg14: 0.0119', 'B4galt1: 0.0117', 'Pigv: 0.0116', 'Uggt1: 0.0111', 'Galnt12: 0.0108', 'Colgalt1: 0.0103']"
CD4_NaiveLike_df,57.777778%,81.818182%,69.662921%,"(490, 239)","['B4galnt1: 0.0678', 'Lfng: 0.0502', 'B3gnt2: 0.0386', 'B3gnt2: 0.0371', 'Tmem260: 0.0291', 'Chst12: 0.0289', 'Stt3a: 0.0282', 'Ogt: 0.0249', 'Poglut1: 0.0234', 'B4galt1: 0.0217', 'Galnt6: 0.0203', 'St3gal1: 0.019', 'Mgat5: 0.019', 'Colgalt1: 0.0176', 'Mfng: 0.0167', 'Pofut2: 0.0157', 'St6gal1: 0.0153', 'Mgat2: 0.0143', 'Extl3: 0.0138', 'Alg3: 0.0138', 'Stt3b: 0.0137', 'Galnt10: 0.0137', 'Galnt2: 0.0131', 'St8sia6: 0.0129', 'St6galnac3: 0.0127', 'Pigl: 0.0125', 'Uggt1: 0.0121', 'Galnt10: 0.0101', 'Gxylt1: 0.0101', 'Csgalnact2: 0.01']"
CD8_Tpex_df,50.000000%,66.666667%,57.142857%,"(35, 239)","['B4galnt1: 0.053', 'Mfng: 0.0519', 'Dse: 0.0366', 'Gxylt1: 0.0312', 'Chpf: 0.0282', 'Chst12: 0.0275', 'Alg5: 0.0261', 'Stt3a: 0.0235', 'St6galnac6: 0.0221', 'Mgat2: 0.0194', 'Galnt7: 0.0189', 'St6galnac3: 0.0188', 'Stt3b: 0.0185', 'Ugcg: 0.0177', 'Uggt1: 0.0175', 'Xylt2: 0.017', 'Galnt10: 0.017', 'Chst11: 0.0165', 'B3galt6: 0.0165', 'St8sia4: 0.0156', 'St3gal6: 0.015', 'B3glct: 0.0148', 'Chpf2: 0.0147', 'B4galt1: 0.0142', 'Dpagt1: 0.014', 'Galnt10: 0.014', 'B3gnt5: 0.0138', 'Galnt12: 0.0129', 'B3galnt2: 0.0127', 'B3gnt2: 0.0125']"
Tfh_df,50.000000%,50.000000%,50.000000%,"(43, 239)","['B3gnt2: 0.0817', 'St8sia4: 0.0681', 'B3gnt2: 0.0583', 'B4galnt1: 0.054', 'Mfng: 0.0361', 'Chst12: 0.0343', 'St3gal1: 0.0307', 'Ogt: 0.0303', 'Stt3b: 0.0295', 'Mgat1: 0.0278', 'B4gat1: 0.0273', 'B4gat1: 0.0259', 'Galnt12: 0.0247', 'Galnt6: 0.0216', 'Lfng: 0.02', 'B4galt1: 0.0199', 'Sptlc2: 0.0189', 'St6gal1: 0.0185', 'Pofut2: 0.0175', 'Mgat2: 0.0164', 'Dpm2: 0.0162', 'Galnt11: 0.0132', 'Pigv: 0.0129', 'Alg1: 0.0124', 'Galnt1: 0.012', 'Rfng: 0.0118', 'Xylt2: 0.0117', 'Uggt1: 0.0102', 'B3gnt3: 0.0097', 'Fut8: 0.0095']"
