Model,Input TIL Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
Tfh_df_LNmodel,CD8_EffectorMemory_df,61.812779%,77.083333%,69.442379%,"(1345, 239)"
Tfh_df_LNmodel,CD8_Tex_df,80.998081%,57.418112%,69.230769%,"(1040, 239)"
CD4_NaiveLike_df_TILmodel,CD8_NaiveLike_df,56.418140%,81.684699%,69.017341%,"(2595, 239)"
all_LNLmodel,CD8_EffectorMemory_df,87.518574%,50.000000%,68.773234%,"(1345, 239)"
CD8_Tpex_df_LNmodel,CD8_EffectorMemory_df,41.158990%,95.684524%,68.401487%,"(1345, 239)"
Tfh_df_LNmodel,CD8_EarlyActiv_df,46.206897%,89.607390%,67.857143%,"(868, 239)"
CD4_NaiveLike_df_TILmodel,Th1_df,68.619792%,66.050198%,67.344262%,"(1525, 239)"
CD8_NaiveLike_df_LNmodel,CD8_Tpex_df,97.183099%,36.170213%,66.784452%,"(283, 239)"
CD4_NaiveLike_df_TILmodel,CD8_EffectorMemory_df,84.695394%,48.660714%,66.691450%,"(1345, 239)"
CD8_EarlyActiv_df_LNmodel,Tfh_df,60.000000%,73.529412%,66.666667%,"(69, 239)"
CD8_Tex_df_LNmodel,CD8_EffectorMemory_df,33.878158%,98.809524%,66.319703%,"(1345, 239)"
Tfh_df_LNmodel,Th1_df,45.833333%,85.997358%,65.770492%,"(1525, 239)"
CD4_NaiveLike_df_TILmodel,CD8_Tpex_df,97.183099%,34.042553%,65.724382%,"(283, 239)"
Treg_df_LNmodel,Tfh_df,34.285714%,97.058824%,65.217391%,"(69, 239)"
CD8_EffectorMemory_df_LNmodel,Tfh_df,57.142857%,73.529412%,65.217391%,"(69, 239)"
Th1_df_LNmodel,Tfh_df,62.857143%,67.647059%,65.217391%,"(69, 239)"
Tfh_df_LNmodel,Tfh_df,54.285714%,76.470588%,65.217391%,"(69, 239)"
Tfh_df_LNmodel,CD8_NaiveLike_df,33.512683%,94.822257%,64.084778%,"(2595, 239)"
CD8_Tpex_df_LNmodel,Tfh_df,31.428571%,97.058824%,63.768116%,"(69, 239)"
all_LNLmodel,CD8_Tpex_df,97.183099%,29.787234%,63.604240%,"(283, 239)"
Th1_df_LNmodel,CD8_Tex_df,94.625720%,32.177264%,63.461538%,"(1040, 239)"
CD8_NaiveLike_df_LNmodel,Tfh_df,57.142857%,67.647059%,62.318841%,"(69, 239)"
CD8_EarlyActiv_df_LNmodel,CD8_Tex_df,95.777351%,28.323699%,62.115385%,"(1040, 239)"
Treg_df_LNmodel,CD8_EarlyActiv_df,24.137931%,99.769053%,61.866359%,"(868, 239)"
